Title:		Opus Test      
CGB:		1
SGB:		0
license:	
romSize:	32768
romBanks:	0
ramSize:	0
ramBanks:	0
japanese:	1
romVersion:	1
ROM:		ROM
SCY: 00, LY: 71, address: 19c0, tileNum: 0
SCY: 00, LY: 72, address: 19c0, tileNum: 0
SCY: 00, LY: 73, address: 19c0, tileNum: 0
SCY: 00, LY: 74, address: 19c0, tileNum: 0
SCY: 00, LY: 75, address: 19c0, tileNum: 0
SCY: 00, LY: 76, address: 19c0, tileNum: 0
SCY: 00, LY: 77, address: 19c0, tileNum: 0
SCY: 00, LY: 78, address: 19e0, tileNum: 0
SCY: 00, LY: 79, address: 19e0, tileNum: 0
SCY: 00, LY: 7a, address: 19e0, tileNum: 0
SCY: 00, LY: 7b, address: 19e0, tileNum: 0
SCY: 00, LY: 7c, address: 19e0, tileNum: 0
SCY: 00, LY: 7d, address: 19e0, tileNum: 0
SCY: 00, LY: 7e, address: 19e0, tileNum: 0
SCY: 00, LY: 7f, address: 19e0, tileNum: 0
SCY: 00, LY: 80, address: 1a00, tileNum: 0
SCY: 00, LY: 81, address: 1a00, tileNum: 0
SCY: 00, LY: 82, address: 1a00, tileNum: 0
SCY: 00, LY: 83, address: 1a00, tileNum: 0
SCY: 00, LY: 84, address: 1a00, tileNum: 0
SCY: 00, LY: 85, address: 1a00, tileNum: 0
SCY: 00, LY: 86, address: 1a00, tileNum: 0
SCY: 00, LY: 87, address: 1a00, tileNum: 0
SCY: 00, LY: 88, address: 1a20, tileNum: 0
SCY: 00, LY: 89, address: 1a20, tileNum: 0
SCY: 00, LY: 8a, address: 1a20, tileNum: 0
SCY: 00, LY: 8b, address: 1a20, tileNum: 0
SCY: 00, LY: 8c, address: 1a20, tileNum: 0
SCY: 00, LY: 8d, address: 1a20, tileNum: 0
SCY: 00, LY: 8e, address: 1a20, tileNum: 0
SCY: 00, LY: 8f, address: 1a20, tileNum: 0
SCY: 00, LY: 00, address: 1800, tileNum: 0
SCY: 00, LY: 01, address: 1800, tileNum: 0
SCY: 00, LY: 02, address: 1800, tileNum: 0
SCY: 00, LY: 03, address: 1800, tileNum: 0
SCY: 00, LY: 04, address: 1800, tileNum: 0
SCY: 00, LY: 05, address: 1800, tileNum: 0
SCY: 00, LY: 06, address: 1800, tileNum: 0
SCY: 00, LY: 07, address: 1800, tileNum: 0
SCY: 00, LY: 08, address: 1820, tileNum: 0
SCY: 00, LY: 09, address: 1820, tileNum: 0
SCY: 00, LY: 0a, address: 1820, tileNum: 0
SCY: 00, LY: 0b, address: 1820, tileNum: 0
SCY: 00, LY: 0c, address: 1820, tileNum: 0
SCY: 00, LY: 0d, address: 1820, tileNum: 0
SCY: 00, LY: 0e, address: 1820, tileNum: 0
